"tipo_vehiculo","anio_transferencia","mes_transferencia","provincia_transferencia","letra_provincia_transferencia","cantidad_transferencias","provincia_id"
"Automotores",2001,4,"Buenos Aires","B",17877,"06"
"Automotores",2001,4,"Catamarca","K",196,"10"
"Automotores",2001,4,"Chaco","H",603,"22"
"Automotores",2001,4,"Chubut","U",980,"26"
"Automotores",2001,4,"Ciudad Autónoma de Bs.As.","C",8914,"02"
"Automotores",2001,4,"Córdoba","X",6816,"14"
"Automotores",2001,4,"Corrientes","W",580,"18"
"Automotores",2001,4,"Entre Ríos","E",1733,"30"
"Automotores",2001,4,"Formosa","P",172,"34"
"Automotores",2001,4,"Jujuy","Y",340,"38"
"Automotores",2001,4,"La Pampa","L",472,"42"
"Automotores",2001,4,"La Rioja","F",221,"46"
"Automotores",2001,4,"Mendoza","M",3546,"50"
"Automotores",2001,4,"Misiones","N",892,"54"
"Automotores",2001,4,"Neuquén","Q",722,"58"
"Automotores",2001,4,"Río Negro","R",636,"62"
"Automotores",2001,4,"Salta","A",462,"66"
"Automotores",2001,4,"San Juan","J",691,"70"
"Automotores",2001,4,"San Luis","D",341,"74"
"Automotores",2001,4,"Santa Cruz","Z",455,"78"
"Automotores",2001,4,"Santa Fe","S",4838,"82"
"Automotores",2001,4,"Santiago del Estero","G",218,"86"
"Automotores",2001,4,"Tierra del Fuego","V",328,"94"
"Automotores",2001,4,"Tucumán","T",711,"90"
"Automotores",2001,5,"Buenos Aires","B",18255,"06"
"Automotores",2001,5,"Catamarca","K",153,"10"
"Automotores",2001,5,"Chaco","H",677,"22"
"Automotores",2001,5,"Chubut","U",972,"26"
"Automotores",2001,5,"Ciudad Autónoma de Bs.As.","C",9493,"02"
"Automotores",2001,5,"Córdoba","X",6676,"14"
"Automotores",2001,5,"Corrientes","W",612,"18"
"Automotores",2001,5,"Entre Ríos","E",1633,"30"
"Automotores",2001,5,"Formosa","P",151,"34"
"Automotores",2001,5,"Jujuy","Y",405,"38"
"Automotores",2001,5,"La Pampa","L",448,"42"
"Automotores",2001,5,"La Rioja","F",225,"46"
"Automotores",2001,5,"Mendoza","M",3673,"50"
"Automotores",2001,5,"Misiones","N",886,"54"
"Automotores",2001,5,"Neuquén","Q",716,"58"
"Automotores",2001,5,"Río Negro","R",615,"62"
"Automotores",2001,5,"Salta","A",521,"66"
"Automotores",2001,5,"San Juan","J",713,"70"
"Automotores",2001,5,"San Luis","D",323,"74"
"Automotores",2001,5,"Santa Cruz","Z",372,"78"
"Automotores",2001,5,"Santa Fe","S",5236,"82"
"Automotores",2001,5,"Santiago del Estero","G",240,"86"
"Automotores",2001,5,"Tierra del Fuego","V",331,"94"
"Automotores",2001,5,"Tucumán","T",727,"90"
"Automotores",2001,6,"Buenos Aires","B",16423,"06"
"Automotores",2001,6,"Catamarca","K",198,"10"
"Automotores",2001,6,"Chaco","H",634,"22"
"Automotores",2001,6,"Chubut","U",849,"26"
"Automotores",2001,6,"Ciudad Autónoma de Bs.As.","C",8057,"02"
"Automotores",2001,6,"Córdoba","X",6493,"14"
"Automotores",2001,6,"Corrientes","W",634,"18"
"Automotores",2001,6,"Entre Ríos","E",1609,"30"
"Automotores",2001,6,"Formosa","P",139,"34"
"Automotores",2001,6,"Jujuy","Y",388,"38"
"Automotores",2001,6,"La Pampa","L",451,"42"
"Automotores",2001,6,"La Rioja","F",207,"46"
"Automotores",2001,6,"Mendoza","M",3376,"50"
"Automotores",2001,6,"Misiones","N",831,"54"
"Automotores",2001,6,"Neuquén","Q",743,"58"
"Automotores",2001,6,"Río Negro","R",622,"62"
"Automotores",2001,6,"Salta","A",473,"66"
"Automotores",2001,6,"San Juan","J",586,"70"
"Automotores",2001,6,"San Luis","D",309,"74"
"Automotores",2001,6,"Santa Cruz","Z",460,"78"
"Automotores",2001,6,"Santa Fe","S",4734,"82"
"Automotores",2001,6,"Santiago del Estero","G",220,"86"
"Automotores",2001,6,"Tierra del Fuego","V",277,"94"
"Automotores",2001,6,"Tucumán","T",635,"90"
"Automotores",2001,7,"Buenos Aires","B",17543,"06"
"Automotores",2001,7,"Catamarca","K",198,"10"
"Automotores",2001,7,"Chaco","H",642,"22"
"Automotores",2001,7,"Chubut","U",870,"26"
"Automotores",2001,7,"Ciudad Autónoma de Bs.As.","C",9046,"02"
"Automotores",2001,7,"Córdoba","X",7234,"14"
"Automotores",2001,7,"Corrientes","W",673,"18"
"Automotores",2001,7,"Entre Ríos","E",1677,"30"
"Automotores",2001,7,"Formosa","P",148,"34"
"Automotores",2001,7,"Jujuy","Y",408,"38"
"Automotores",2001,7,"La Pampa","L",536,"42"
"Automotores",2001,7,"La Rioja","F",196,"46"
"Automotores",2001,7,"Mendoza","M",3608,"50"
"Automotores",2001,7,"Misiones","N",915,"54"
"Automotores",2001,7,"Neuquén","Q",798,"58"
"Automotores",2001,7,"Río Negro","R",578,"62"
"Automotores",2001,7,"Salta","A",502,"66"
"Automotores",2001,7,"San Juan","J",706,"70"
"Automotores",2001,7,"San Luis","D",367,"74"
"Automotores",2001,7,"Santa Cruz","Z",481,"78"
"Automotores",2001,7,"Santa Fe","S",5415,"82"
"Automotores",2001,7,"Santiago del Estero","G",251,"86"
"Automotores",2001,7,"Tierra del Fuego","V",329,"94"
"Automotores",2001,7,"Tucumán","T",733,"90"
"Automotores",2001,8,"Buenos Aires","B",17956,"06"
"Automotores",2001,8,"Catamarca","K",202,"10"
"Automotores",2001,8,"Chaco","H",680,"22"
"Automotores",2001,8,"Chubut","U",905,"26"
"Automotores",2001,8,"Ciudad Autónoma de Bs.As.","C",9891,"02"
"Automotores",2001,8,"Córdoba","X",7947,"14"
"Automotores",2001,8,"Corrientes","W",679,"18"
"Automotores",2001,8,"Entre Ríos","E",1757,"30"
"Automotores",2001,8,"Formosa","P",136,"34"
"Automotores",2001,8,"Jujuy","Y",379,"38"
"Automotores",2001,8,"La Pampa","L",532,"42"
"Automotores",2001,8,"La Rioja","F",226,"46"
"Automotores",2001,8,"Mendoza","M",3807,"50"
"Automotores",2001,8,"Misiones","N",886,"54"
"Automotores",2001,8,"Neuquén","Q",682,"58"
"Automotores",2001,8,"Río Negro","R",625,"62"
"Automotores",2001,8,"Salta","A",524,"66"
"Automotores",2001,8,"San Juan","J",605,"70"
"Automotores",2001,8,"San Luis","D",390,"74"
"Automotores",2001,8,"Santa Cruz","Z",452,"78"
"Automotores",2001,8,"Santa Fe","S",5801,"82"
"Automotores",2001,8,"Santiago del Estero","G",306,"86"
"Automotores",2001,8,"Tierra del Fuego","V",351,"94"
"Automotores",2001,8,"Tucumán","T",791,"90"
"Automotores",2001,9,"Buenos Aires","B",15721,"06"
"Automotores",2001,9,"Catamarca","K",160,"10"
"Automotores",2001,9,"Chaco","H",594,"22"
"Automotores",2001,9,"Chubut","U",800,"26"
"Automotores",2001,9,"Ciudad Autónoma de Bs.As.","C",9050,"02"
"Automotores",2001,9,"Córdoba","X",6964,"14"
"Automotores",2001,9,"Corrientes","W",555,"18"
"Automotores",2001,9,"Entre Ríos","E",1483,"30"
"Automotores",2001,9,"Formosa","P",109,"34"
"Automotores",2001,9,"Jujuy","Y",256,"38"
"Automotores",2001,9,"La Pampa","L",414,"42"
"Automotores",2001,9,"La Rioja","F",181,"46"
"Automotores",2001,9,"Mendoza","M",3116,"50"
"Automotores",2001,9,"Misiones","N",779,"54"
"Automotores",2001,9,"Neuquén","Q",565,"58"
"Automotores",2001,9,"Río Negro","R",501,"62"
"Automotores",2001,9,"Salta","A",494,"66"
"Automotores",2001,9,"San Juan","J",525,"70"
"Automotores",2001,9,"San Luis","D",364,"74"
"Automotores",2001,9,"Santa Cruz","Z",384,"78"
"Automotores",2001,9,"Santa Fe","S",5221,"82"
"Automotores",2001,9,"Santiago del Estero","G",263,"86"
"Automotores",2001,9,"Tierra del Fuego","V",309,"94"
